datetime,HR,A1,A2,A3,A4,A5,A6,A7
2017-10-28 16:00:00,58.45,56.63958,57.34766,57.407764,58.054585,57.106808,56.92847,57.01021
2017-10-28 17:00:00,67.83,62.61075,63.59338,64.467026,63.87049,63.347656,64.22379,62.348812
2017-10-28 18:00:00,70.88,66.67896,69.59316,68.60127,68.90931,68.75531,66.980316,68.8177
2017-10-28 19:00:00,68.57,68.862015,69.3597,68.66696,71.78189,69.915955,65.56634,69.18043
2017-10-28 20:00:00,56.89000000000001,64.33,65.623764,63.701283,65.24707,65.34364,63.35821,65.07441
2017-10-28 21:00:00,55.459999999999994,55.402725,54.623173,55.545685,55.754833,56.122303,54.755604,56.88218
2017-10-28 22:00:00,53.17,53.55758,54.676815,54.743484,54.57078,55.94484,54.110523,55.678432
2017-10-28 23:00:00,52.31000000000001,51.673832,52.586426,52.170483,54.50278,53.84182,50.48586,53.47002
2017-10-29 00:00:00,51.25,50.46426,51.376377,51.653748,48.68705,51.283905,48.44832,51.140724
2017-10-29 01:00:00,50.85999999999999,50.801395,50.529984,50.599556,48.245564,50.13946,47.584137,51.431282
2017-10-29 02:00:00,49.93999999999999,50.692806,50.66575,49.8199,50.580124,51.70458,48.983547,49.669167
2017-10-29 03:00:00,50.309999999999995,49.929825,50.49828,49.25805,50.435555,50.906525,48.98764,49.434086
2017-10-29 04:00:00,49.209999999999994,50.98765,51.573387,50.290848,50.345997,51.817413,50.418922,50.28673
2017-10-29 05:00:00,50.49,49.768383,50.84694,50.452465,47.18336,50.44885,50.29189,49.92749
2017-10-29 06:00:00,51.36999999999999,52.723495,53.66456,52.7026,51.063267,53.171745,53.717896,51.97874
2017-10-29 07:00:00,53.06000000000001,53.74924,54.909184,53.78225,53.5479,53.856968,52.713078,53.44642
2017-10-29 08:00:00,55.78,54.78587,55.792377,54.186855,53.57082,53.986668,53.429996,55.273983
2017-10-29 09:00:00,55.68999999999999,56.241066,58.14052,57.578487,56.875256,56.59025,55.33224,57.55831
2017-10-29 10:00:00,55.85999999999999,55.958492,59.02313,57.833416,57.119934,55.875286,54.770123,56.813095
2017-10-29 11:00:00,55.64000000000001,55.593395,59.03507,58.491432,57.067513,56.510418,55.304886,57.79402
2017-10-29 12:00:00,57.49,54.77418,58.00841,56.529205,56.110874,55.76964,54.590195,55.21526
2017-10-29 13:00:00,53.05,56.213207,57.489403,59.035965,56.970337,57.132393,56.538204,57.471943
2017-10-29 14:00:00,51.89000000000001,52.54895,53.55972,53.596985,51.519363,52.441906,52.160515,52.117584
2017-10-29 15:00:00,50.16,52.302834,53.448475,55.228935,51.588837,53.04126,53.18685,53.093056
2017-10-29 16:00:00,57.18999999999999,52.97927,54.99725,56.717587,53.62082,54.115665,54.20374,53.526134
2017-10-29 17:00:00,68.17,62.283585,64.184975,66.68268,64.86734,61.836765,62.30028,61.45601
2017-10-29 18:00:00,72.42,67.98613,72.23818,73.917725,73.068405,69.57488,71.78303,71.54163
2017-10-29 19:00:00,71.51,70.113525,73.26409,72.66865,73.48046,72.03406,70.56958,72.0355
2017-10-29 20:00:00,69.38,67.60661,68.47533,67.36655,69.23379,68.008766,67.14803,68.99891
2017-10-29 21:00:00,66.08,65.281746,63.687485,64.10609,65.456406,65.26826,63.499504,66.451355
2017-10-29 22:00:00,58.129999999999995,61.03069,61.262524,63.273907,64.13807,62.959908,61.81659,63.954166
