"Datum;""Von"";""bis"";""MW"";""Onshore MW"";""Offshore MW"";",
05.01.2013;06:45;07:00;3689,87;0;0;
05.01.2013;07:00;07:15;3576,98;0;0;
05.01.2013;07:15;07:30;3462,65;0;0;
05.01.2013;07:30;07:45;3348,48;0;0;
05.01.2013;07:45;08:00;3234,51;0;0;
05.01.2013;08:00;08:15;3121,11;0;0;
05.01.2013;08:15;08:30;3011;0;0;,
05.01.2013;08:30;08:45;2901;0;0;,
05.01.2013;08:45;09:00;2791,25;0;0;
05.01.2013;09:00;09:15;2679,6;0;0;
05.01.2013;09:15;09:30;2576,08;0;0;
05.01.2013;09:30;09:45;2472;0;0;,
05.01.2013;09:45;10:00;2367,97;0;0;
05.01.2013;10:00;10:15;2264,66;0;0;
05.01.2013;10:15;10:30;2188,44;0;0;
05.01.2013;10:30;10:45;2111,86;0;0;
05.01.2013;10:45;11:00;2035,02;0;0;
05.01.2013;11:00;11:15;1961,64;0;0;
05.01.2013;11:15;11:30;1905,86;0;0;
05.01.2013;11:30;11:45;1850,34;0;0;
05.01.2013;11:45;12:00;1795,96;0;0;
05.01.2013;12:00;12:15;1741,58;0;0;
05.01.2013;12:15;12:30;1694,2;0;0;
05.01.2013;12:30;12:45;1646,51;0;0;
05.01.2013;12:45;13:00;1598,97;0;0;
05.01.2013;13:00;13:15;1563,9;0;0;
05.01.2013;13:15;13:30;1530,12;0;0;
05.01.2013;13:30;13:45;1497,47;0;0;
05.01.2013;13:45;14:00;1464,15;0;0;
05.01.2013;14:00;14:15;1431,49;0;0;
05.01.2013;14:15;14:30;1398,95;0;0;
05.01.2013;14:30;14:45;1366,76;0;0;
05.01.2013;14:45;15:00;1334,52;0;0;
05.01.2013;15:00;15:15;1306,45;0;0;
05.01.2013;15:15;15:30;1283,38;0;0;
05.01.2013;15:30;15:45;1259,9;0;0;
05.01.2013;15:45;16:00;1236,98;0;0;
05.01.2013;16:00;16:15;1213,44;0;0;
05.01.2013;16:15;16:30;1197,32;0;0;
05.01.2013;16:30;16:45;1182,23;0;0;
05.01.2013;16:45;17:00;1167,09;0;0;
05.01.2013;17:00;17:15;1156,18;0;0;
05.01.2013;17:15;17:30;1148,91;0;0;
05.01.2013;17:30;17:45;1141,55;0;0;
05.01.2013;17:45;18:00;1134,24;0;0;
05.01.2013;18:00;18:15;1126,1;0;0;
05.01.2013;18:15;18:30;1119,71;0;0;
05.01.2013;18:30;18:45;1114;0;0;,
05.01.2013;18:45;19:00;1108,43;0;0;
05.01.2013;19:00;19:15;1097,52;0;0;
05.01.2013;19:15;19:30;1097,72;0;0;
05.01.2013;19:30;19:45;1098,49;0;0;
05.01.2013;19:45;20:00;1099,01;0;0;
05.01.2013;20:00;20:15;1099,16;0;0;
05.01.2013;20:15;20:30;1110,08;0;0;
05.01.2013;20:30;20:45;1121,46;0;0;
05.01.2013;20:45;21:00;1133,72;0;0;
05.01.2013;21:00;21:15;1146,54;0;0;
05.01.2013;21:15;21:30;1170,03;0;0;
05.01.2013;21:30;21:45;1193,46;0;0;
05.01.2013;21:45;22:00;1217,46;0;0;
05.01.2013;22:00;22:15;1239,19;0;0;
05.01.2013;22:15;22:30;1271,02;0;0;
05.01.2013;22:30;22:45;1303,41;0;0;
05.01.2013;22:45;23:00;1336,12;0;0;
05.01.2013;23:00;23:15;1370,47;0;0;
05.01.2013;23:15;23:30;1415,68;0;0;
05.01.2013;23:30;23:45;1461,36;0;0;
05.01.2013;23:45;00:00;1507,46;0;0;
06.01.2013;00:00;00:15;804,89;0;0;
06.01.2013;00:15;00:30;849,65;0;0;
06.01.2013;00:30;00:45;895,22;0;0;
06.01.2013;00:45;01:00;941,32;0;0;
06.01.2013;01:00;01:15;977,78;0;0;
06.01.2013;01:15;01:30;1030,88;0;0;
06.01.2013;01:30;01:45;1083,77;0;0;
06.01.2013;01:45;02:00;1137,84;0;0;
06.01.2013;02:00;02:15;1191,56;0;0;
06.01.2013;02:15;02:30;1244,39;0;0;
06.01.2013;02:30;02:45;1297,8;0;0;
06.01.2013;02:45;03:00;1350,95;0;0;
06.01.2013;03:00;03:15;1409,86;0;0;
06.01.2013;03:15;03:30;1469,35;0;0;
06.01.2013;03:30;03:45;1529,04;0;0;
06.01.2013;03:45;04:00;1588,93;0;0;
06.01.2013;04:00;04:15;1641,56;0;0;
